nen3610id,code,syntax_aantaldoorstroomopeningen,syntax_afvoercoefficient,syntax_bochtenknikverlies,syntax_breedteopening,syntax_categorie,syntax_code,syntax_detailniveaugeometrie,syntax_drempelpeil,syntax_featuretype,syntax_globalid,syntax_hoogtebinnenonderkantbene,syntax_hoogtebinnenonderkantbov,syntax_hoogteopening,syntax_hyperlink,syntax_indicatiewaterkerend,syntax_indpeilregulpeilscheidend,syntax_intreeverlies,syntax_kerendehoogte,syntax_lengte,syntax_lvpublicatiedatum,syntax_metadataid,syntax_naam,syntax_namespace,syntax_nen3610id,syntax_objectbegintijd,syntax_objectid,syntax_ontwerpbuitenwaterstand,syntax_openingspeil,syntax_openkeerpeil,syntax_opmerking,syntax_ruwheid,syntax_signaleringspeil,syntax_sluitpeil,syntax_soortmateriaal,syntax_statusleggerwatersysteem,syntax_statusleggerwaterveiligheid,syntax_statusobject,syntax_tijdstipregistratie,syntax_typekruising,syntax_typeruwheid,syntax_typewaterkerendeconstructie,syntax_uittreeverlies,syntax_vormkoker,syntax_waterkeringid,syntax_geometry,syntax_oordeel,general_000_maaiveldhoogte,general_001_delta_h,general_002_verval,general_003_slope,validate_000_bok_boven_plausibel,validate_001_bok_beneden_plausibel,validate_002_bok_boven_lt_maaiveld,validate_003_bok_beneden_lt_maaiveld,validate_004_Lengte_duiker_groter_dan_1m,validate_005_breedte_eq_hoogte,validate_006_op_hydroobject,validate_007_verhang_lt_2cmpm,validate_008_verval_lt_50cm,validate_009_geen_overlap,rating,valid,invalid,invalid_critical,invalid_non_critical,ignored,summary,tags_assigned,tags_invalid,date_check
NL.WBHCODE.7.Duikersifonhevel.13900,DR54230185,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.22,0.05999946594238281,0.05999946594238281,0.0037499666213989258,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.21009,DR54230007,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.65,0.06999969482421875,0.06999969482421875,0.006999969482421875,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.28960,DR80350068,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.84,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.16168,DR54230019,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.99,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.23896,DR54230213,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.6,0.04000091552734375,0.04000091552734375,0.00160003662109375,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.23093,DR54230171,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.41,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.28443,DR54230277,,,,nan -> NULL (fouten: 4),,,,,,,nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),nan -> NULL (fouten: 4),,,2 -> NULL (fouten: 6),,,nan -> NULL (fouten: 4),,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.88,,,,,,,,,,True,,,True,10,6;9,,,,0;1;2;3;4;5;7;8,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.17694,DR54230181,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.94,0.010000228881835938,0.010000228881835938,0.0009091117165305398,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.24527,DR54230012,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.15,-0.05999946594238281,0.05999946594238281,-0.005714234851655506,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.23283,DR54230004,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.63,-0.010000228881835938,0.010000228881835938,-0.0006666819254557292,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.28958,DR54230275,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.58,0.12999916076660156,0.12999916076660156,0.0016249895095825195,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.23752,DR54230020,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.72,-0.05999946594238281,0.05999946594238281,-0.0029268032167016006,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.29463,DR54230265,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.75,0.029998779296875,0.029998779296875,0.0030301798437168564,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.20390,DR54230023,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.56,0.14999961853027344,0.14999961853027344,0.02499993642171224,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.28067,DR54230024,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.05,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.15573,DR54230177,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.95,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.29465,DR54230267,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.13,0.10000038146972656,0.10000038146972656,0.005970172028043377,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.25998,DR54230027,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.83,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.13965,DR54230211,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.43,-0.029998779296875,0.029998779296875,-0.004999796549479167,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.24858,DR54230021,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,32.1,-0.04000091552734375,0.04000091552734375,-0.003921658458366739,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.20284,DR54230194,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.65,0.029998779296875,0.029998779296875,0.0015788831208881579,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.15451,DR54230206,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.76,0.1700000762939453,0.1700000762939453,0.003090910478071733,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.15561,DR54230205,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.89,-0.009998321533203125,0.009998321533203125,-0.00031244754791259766,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.13477,DR54230201,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.69,0.01999664306640625,0.01999664306640625,0.006665547688802083,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.13411,DR54230200,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.43,0.07999801635742188,0.07999801635742188,0.006153693565955529,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.15531,DR54230198,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,34.97,0.10000228881835938,0.10000228881835938,0.012500286102294922,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
NL.WBHCODE.7.Duikersifonhevel.15595,DR54230203,,,,,,,,,,,,,,,,2 -> NULL (fouten: 6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,33.82,0.3400001525878906,0.3400001525878906,0.011724143192685884,True,True,True,True,True,True,True,True,True,True,10,0;1;2;3;4;5;6;7;8;9,,,,,,,,2022-01-25T15:36:50.082241
